team,wins,losses,division,conference
BOSTON CELTICS,50,32,ATLANTIC,EASTERN
TORONTO RAPTORS,40,42,ATLANTIC,EASTERN
NEW YORK KNICKS,29,53,ATLANTIC,EASTERN
PHILADELPHIA 76ERS,27,55,ATLANTIC,EASTERN
NEW JERSEY NETS,12,70,ATLANTIC,EASTERN
CLEVELAND CAVALIERS,61,21,CENTRAL,EASTERN
MILWAUKEE BUCKS,46,36,CENTRAL,EASTERN
CHICAGO BULLS,41,41,CENTRAL,EASTERN
INDIANA PACERS,32,50,CENTRAL,EASTERN
DETROIT PISTONS,27,55,CENTRAL,EASTERN
ORLANDO MAGIC,59,23,SOUTHEAST,EASTERN
ATLANTA HAWKS,53,29,SOUTHEAST,EASTERN
MIAMI HEAT,47,35,SOUTHEAST,EASTERN
CHARLOTTE BOBCATS,44,38,SOUTHEAST,EASTERN
WASHINGTON WIZARDS,26,56,SOUTHEAST,EASTERN
DENVER NUGGETS,53,29,NORTHWEST,
UTAH JAZZ,53,29,NORTHWEST,
PORTLAND TRAIL BLAZERS,50,32,NORTHWEST,
OKLAHOMA CITY THUNDER,50,32,NORTHWEST,
MINNESOTA TIMBERWOLVES,15,67,NORTHWEST,
LOS ANGELES LAKERS,57,25,PACIFIC,WESTERN
PHOENIX SUNS,54,28,PACIFIC,WESTERN
LOS ANGELES CLIPPERS,29,53,PACIFIC,WESTERN
GOLDEN STATE WARRIORS,26,56,PACIFIC,WESTERN
SACRAMENTO KINGS,25,57,PACIFIC,WESTERN
DALLAS MAVERICKS,55,27,SOUTHWEST,WESTERN
SAN ANTONIO SPURS,50,32,SOUTHWEST,WESTERN
HOUSTON ROCKETS,42,40,SOUTHWEST,WESTERN
MEMPHIS GRIZZLIES,40,42,SOUTHWEST,WESTERN
NEW ORLEANS HORNETS,37,45,SOUTHWEST,WESTERN
